,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
337,1615536000000,put,BTC-12MAR21-78000-P,78000.0,58602.75,SYN.BTC-12MAR21,1613824362043,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.39,0.0,0.297,0.4195,0.34832275,105.97,,0.0,57127.42,"{'vega': 31.88672, 'theta': -85.28047, 'rho': -38.10191, 'gamma': 2e-05, 'delta': -0.84962}",57127.42,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0
338,1614326400000,put,BTC-26FEB21-24000-P,24000.0,57626.9,BTC-26FEB21,1613824362049,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,1084.7,0.0001,0.015,1.299e-05,202.83,0.0005,0.0,57127.42,"{'vega': 0.05304, 'theta': -0.74884, 'rho': -0.00188, 'gamma': 0.0, 'delta': -0.00019}",57127.42,27222728474,[],0.0,0.0,0.0,0.0005,5.0,"[[0.0005, 5.0], [0.001, 51.0], [0.0015, 0.4], [0.0265, 0.1], [0.027, 0.1], [0.0285, 0.1], [0.0295, 0.1], [0.0305, 0.1], [0.0315, 0.1], [0.1285, 1.3]]",281.29
339,1624608000000,call,BTC-25JUN21-100000-C,100000.0,62835.7,BTC-25JUN21,1613824362047,"{'volume': 208.1, 'price_change': 12.6761, 'low': 0.071, 'high': 0.09}",open,0.08,550.4,0.0355,0.175,0.08582794,99.28,0.08,0.0,57127.42,"{'vega': 128.7056, 'theta': -51.18905, 'rho': 47.09201, 'gamma': 1e-05, 'delta': 0.305}",57127.42,27222747643,"[[0.083, 13.4], [0.0825, 16.0], [0.0785, 14.0], [0.064, 0.1], [0.0615, 1.0], [0.056, 0.1], [0.0515, 2.0], [0.046, 1.0], [0.043, 1.0], [0.0415, 3.0], [0.04, 0.1], [0.0325, 0.1], [0.0315, 4.0], [0.03, 1.3], [0.0235, 1.0]]",97.89,0.083,13.4,0.0875,13.4,"[[0.0875, 13.4], [0.091, 14.0], [0.0915, 16.0], [0.9, 30.0]]",100.1
340,1613980800000,put,BTC-22FEB21-56000-P,56000.0,57283.82,SYN.BTC-22FEB21,1613824362043,"{'volume': 6.0, 'price_change': -31.3725, 'low': 0.0155, 'high': 0.0255}",open,,5.0,0.0001,0.0585,0.01666208,94.91,0.0175,0.0,57127.42,"{'vega': 15.01589, 'theta': -393.6035, 'rho': -1.05529, 'gamma': 0.0001, 'delta': -0.35475}",57127.42,27222746910,"[[0.016, 1.0], [0.0155, 21.5], [0.015, 20.2], [0.014, 22.1], [0.013, 0.2]]",92.4,0.016,1.0,0.0185,21.2,"[[0.0185, 21.2], [0.019, 20.1], [0.02, 11.0], [0.0205, 12.5], [0.051, 0.1]]",101.91
341,1616745600000,call,BTC-26MAR21-32000-C,32000.0,59369.02,BTC-26MAR21,1613824362634,"{'volume': 7.9, 'price_change': 1.1111, 'low': 0.45, 'high': 0.457}",open,0.45,847.0,0.446,0.504,0.46904235,132.89,0.455,0.0,57127.42,"{'vega': 16.13298, 'theta': -31.70457, 'rho': 26.90181, 'gamma': 0.0, 'delta': 0.95821}",57127.42,27222749268,"[[0.466, 1.5], [0.4655, 2.0], [0.4645, 9.0], [0.19, 0.5], [0.08, 1.0], [0.022, 0.2]]",120.32,0.466,1.5,0.472,1.8,"[[0.472, 1.8], [0.473, 9.0], [0.475, 3.0], [0.495, 2.1], [0.5, 3.6], [0.525, 1.5], [0.55, 1.0], [0.575, 0.1], [0.6, 0.1], [0.7, 2.0]]",142.94
342,1619769600000,put,BTC-30APR21-28000-P,28000.0,60703.12,SYN.BTC-30APR21,1613824362047,"{'volume': 8.5, 'price_change': 0.0, 'low': 0.01, 'high': 0.01}",open,0.01,569.3,0.0001,0.034,0.00864295,114.93,0.01,0.0,57127.42,"{'vega': 20.80386, 'theta': -17.37391, 'rho': -5.0997, 'gamma': 0.0, 'delta': -0.03592}",57127.42,27222729079,"[[0.007, 50.0], [0.006, 20.0], [0.004, 10.0], [0.002, 0.1]]",109.87,0.007,50.0,0.0105,50.0,"[[0.0105, 50.0], [0.0125, 20.0], [0.095, 1.0]]",120.08
343,1616745600000,call,BTC-26MAR21-13000-C,13000.0,59369.78,BTC-26MAR21,1613824362043,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.77,1075.2,0.767,0.7965,0.78150018,196.04,0.7525,0.0,57127.42,"{'vega': 1.26344, 'theta': -3.66277, 'rho': 11.89383, 'gamma': 0.0, 'delta': 0.99777}",57127.42,27222536042,"[[0.7735, 14.0]]",0.0,0.7735,14.0,0.7835,14.0,"[[0.7835, 14.0]]",243.9
344,1614326400000,call,BTC-26FEB21-66000-C,66000.0,57627.43,BTC-26FEB21,1613824363050,"{'volume': 13.8, 'price_change': 10.0, 'low': 0.007, 'high': 0.011}",open,0.01,11.2,0.0001,0.051,0.01139623,105.4,0.011,0.0,57127.12,"{'vega': 18.40982, 'theta': -166.9825, 'rho': 1.45639, 'gamma': 3e-05, 'delta': 0.17015}",57127.12,27222746322,"[[0.01, 21.0], [0.0095, 31.7], [0.009, 16.1], [0.006, 0.1], [0.0005, 0.1]]",100.93,0.01,21.0,0.012,1.0,"[[0.012, 1.0], [0.0125, 31.7], [0.013, 20.1], [0.0145, 16.0]]",107.28
345,1613894400000,put,BTC-21FEB21-52000-P,52000.0,57197.17,SYN.BTC-21FEB21,1613824363050,"{'volume': 121.1, 'price_change': -96.875, 'low': 0.0005, 'high': 0.016}",open,0.0,150.4,0.0001,0.0235,0.00082354,115.13,0.0005,0.0,57127.12,"{'vega': 2.19312, 'theta': -47.10434, 'rho': -0.04839, 'gamma': 3e-05, 'delta': -0.03728}",57127.12,27222722414,"[[0.0005, 11.0]]",105.43,0.0005,11.0,0.002,49.7,"[[0.002, 49.7], [0.0055, 0.4], [0.0095, 0.1], [0.0115, 2.0], [0.018, 0.1], [0.0415, 2.7]]",138.55
346,1624608000000,call,BTC-25JUN21-160000-C,160000.0,62835.71,BTC-25JUN21,1613824363056,"{'volume': 0.8, 'price_change': 3.9216, 'low': 0.0255, 'high': 0.0285}",open,0.02,0.8,0.005,0.088,0.02534647,104.07,0.0265,0.0,57127.12,"{'vega': 68.66696, 'theta': -28.62825, 'rho': 17.98697, 'gamma': 0.0, 'delta': 0.10906}",57127.12,27222729017,"[[0.0245, 20.0], [0.0225, 15.0], [0.022, 18.0], [0.012, 0.1]]",103.29,0.0245,20.0,0.026,15.0,"[[0.026, 15.0], [0.03, 20.0], [0.0405, 18.0], [0.085, 0.1]]",104.66
